ticker,shortName,longName,symbol,exchange,quoteType,currency,sector,industry,fullTimeEmployees,regularMarketPrice,previousClose,open,dayLow,dayHigh,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketVolume,averageVolume,averageVolume10days,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,beta,trailingEps,forwardEps,dividendRate,dividendYield,payoutRatio,profitMargins,grossMargins,operatingMargins,ebitdaMargins,revenueGrowth,earningsGrowth,totalRevenue,ebitda,recommendationKey,recommendationMean
ADBE,Adobe Inc.,Adobe Inc.,ADBE,NMS,EQUITY,USD,Technology,Software - Application,31360.0,301.07,299.62,300.5664,299.2,303.84,288.33,465.7,3365960,4207144,5497810,126027907072,123648237568.0,18.017357,11.412237,10.697865,1.526,16.71,26.38133,,,0.0,0.29997,0.89268,0.36503,0.38883,0.105,0.172,23768999936,9242000384,buy,2.23077
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",AMD,NMS,EQUITY,USD,Technology,Semiconductors,28000.0,259.68,253.73,261.3,256.25,266.95,76.48,267.08,36784199,40937378,43876700,422769819648,419396812800.0,135.25,39.52662,6.954472,1.95,1.92,6.56975,,,0.0,0.10323,0.51457,0.13736,0.18902999,0.356,0.603,32027000832,6054000128,buy,1.54717
ABNB,"Airbnb, Inc.","Airbnb, Inc.",ABNB,NMS,EQUITY,USD,Consumer Cyclical,Travel Services,7300.0,132.15,133.79999,133.21,131.71,134.82,99.88,163.93,4302887,4804822,4648960,80906936320,70723117056.0,31.464285,27.400356,9.331967,1.1,4.2,4.82293,,,0.0,0.2203,0.83036005,0.39683,0.23118,0.097,0.038,11943000064,2760999936,buy,2.44186
ALNY,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc.",ALNY,NMS,EQUITY,USD,Healthcare,Biotechnology,2230.0,357.98,370.0,368.2,356.79,371.33,205.87,495.55,1636801,1400683,1732080,47294103552,47342788608.0,1234.4138,31.862165,201.67888,0.321,0.29,11.23527,,,0.0,0.0135699995,0.83896005,0.29462,0.1,1.493,,3210070016,321020992,buy,1.82143
GOOGL,Alphabet Inc.,Alphabet Inc.,GOOGL,NMS,EQUITY,USD,Communication Services,Internet Content & Information,190167.0,327.935,330.505,332.485,327.45,333.6889,140.53,340.49,27279974,36587240,31521910,3971988586496,3902830280704.0,32.372654,29.16951,10.2374115,1.086,10.13,11.24239,0.84,0.26,0.0809,0.32233003,0.59172,0.30512,0.37660998,0.159,0.353,385476001792,145174003712,strong_buy,1.41791
GOOG,Alphabet Inc.,Alphabet Inc.,GOOG,NMS,EQUITY,USD,Communication Services,Internet Content & Information,190167.0,328.44,330.83,332.725,327.97,334.03,142.66,341.2,19110585,23608970,21152220,3964872949760,3908863787008.0,32.454548,29.200846,10.253176,1.086,10.12,11.24762,0.84,0.26,0.0809,0.32233003,0.59172,0.30512,0.37660998,0.159,0.353,385476001792,145174003712,strong_buy,1.42424
AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",AMZN,NMS,EQUITY,USD,Consumer Cyclical,Internet Retail,1578000.0,239.16,234.34,234.72,234.57,240.45,161.38,258.6,33778478,44798427,39977350,2556672081920,2622912987136.0,33.779663,30.425894,6.9147363,1.376,7.08,7.86041,,,0.0,0.11063,0.50046,0.11057,0.20207001,0.134,0.364,691330023424,139696996352,strong_buy,1.34328
AEP,American Electric Power Company,"American Electric Power Company, Inc.",AEP,NMS,EQUITY,USD,Utilities,Utilities - Regulated Electric,16330.0,116.63,117.18,117.04,115.56,117.17,97.32,124.8,2525915,3547862,3312900,62428024832,110114930688.0,17.076134,18.453033,2.0537426,0.615,6.83,6.32037,3.8,3.26,0.5447,0.17228001,0.48422,0.25885,0.41197,0.109,0.006,21257000960,8757300224,buy,2.34783
AMGN,Amgen Inc.,Amgen Inc.,AMGN,NMS,EQUITY,USD,Healthcare,Drug Manufacturers - General,28000.0,344.75,347.07,346.18,341.815,349.225,261.43,349.98,1710550,2865331,2763030,185641205760,230783205376.0,26.6628,15.589397,19.29967,0.45,12.93,22.11439,9.66,2.8,0.72620004,0.19474001,0.70051,0.34153,0.45817003,0.124,0.136,35970998272,16481000448,buy,2.40625
ADI,"Analog Devices, Inc.","Analog Devices, Inc.",ADI,NMS,EQUITY,USD,Technology,Semiconductors,24500.0,305.6,308.52,310.75,303.16,313.54,158.65,313.54,2409687,3749077,3487700,149638299648,154947026944.0,67.16483,26.686554,4.425138,1.032,4.55,11.45146,3.96,1.3,0.8531,0.20575,0.61467,0.30501,0.45321998,0.259,0.661,11019707392,4994371072,buy,1.77778
AAPL,Apple Inc.,Apple Inc.,AAPL,NMS,EQUITY,USD,Technology,Consumer Electronics,166000.0,248.04,248.34999,247.24,244.68,249.41,169.21,288.62,41688982,46377416,49878560,3665126490112,3722806558720.0,33.20482,27.10944,49.697453,1.093,7.47,9.14958,1.04,0.42,0.1367,0.26915002,0.46905,0.31647,0.34782,0.079,0.912,416161005568,144748003328,buy,2.0
AMAT,"Applied Materials, Inc.","Applied Materials, Inc.",AMAT,NMS,EQUITY,USD,Technology,Semiconductor Equipment & Materials,36500.0,322.37,318.795,318.93,311.07,323.6399,123.74,333.03,6200984,7449436,8192880,256813613056,254106075136.0,37.182236,27.019234,12.522141,1.671,8.67,11.93113,1.84,0.57,0.19860001,0.24669,0.48675,0.28441,0.31535998,-0.035,0.133,28367998976,8945999872,buy,1.73684
APP,Applovin Corporation,AppLovin Corporation,APP,NMS,EQUITY,USD,Communication Services,Advertising Agencies,1533.0,524.41,521.94,521.5,509.04,535.7,200.5,745.61,4835106,4308591,5980250,177381638144,179072040960.0,61.69529,37.611042,120.44326,2.502,8.5,13.94298,,,0.0,0.44879,0.79688,0.76795,0.62052,0.682,0.959,6307449856,3913881088,buy,1.67857
ARM,Arm Holdings plc,Arm Holdings plc,ARM,NMS,EQUITY,USD,Technology,Semiconductors,8330.0,116.07,119.2,120.87,114.58,121.85,80.0,183.16,4981079,4846486,7806670,123150106624,120321269760.0,148.8077,50.931576,16.626558,4.363,0.78,2.27894,,,0.0,0.18812001,0.97393,0.14361,0.2384,0.345,1.2,4412000256,1051800000,buy,2.09756
ASML,ASML Holding N.V. - New York Re,ASML Holding N.V.,ASML,NMS,EQUITY,USD,Technology,Semiconductor Equipment & Materials,43461.0,1389.04,1395.0,1377.29,1363.27,1393.36,578.51,1398.8,1061460,1494003,2087770,539152678912,535551705088.0,48.772472,43.023167,23.946615,1.341,28.48,32.285862,7.37,0.53,0.2672,0.29378,0.52711,0.32841998,0.37743,0.007,0.038,32212000768,12157899776,buy,1.56098
TEAM,Atlassian Corporation,Atlassian Corporation,TEAM,NMS,EQUITY,USD,Technology,Software - Application,14089.0,131.75,128.435,128.75,128.7,132.28,115.53,326.0,5862998,3048732,5206770,34680729600,33112252416.0,,23.398844,25.157534,0.888,-0.7,5.63062,,,0.0,-0.03384,0.83452004,-0.028380001,-0.00828,0.206,,5460076032,-45192000,buy,1.60606
ADSK,"Autodesk, Inc.","Autodesk, Inc.",ADSK,NMS,EQUITY,USD,Technology,Software - Application,15300.0,270.0,269.77,269.41,266.87,271.285,232.67,329.09,1493407,1579355,2269550,57509998592,57685000192.0,52.325584,23.251669,19.786018,1.466,5.16,11.61207,,,0.0,0.16129999,0.92130995,0.25688,0.25726,0.18,0.26,6888000000,1772000000,strong_buy,1.5
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",ADP,NMS,EQUITY,USD,Technology,Software - Application,67000.0,257.87,259.85498,258.035,256.88,260.65,247.18,329.93,2114594,2273993,2068600,104460427264,106472595456.0,25.45607,21.621508,16.38102,0.864,10.13,11.92655,6.8,2.64,0.6081,0.19788,0.48306,0.25891,0.29149,0.071,0.064,20903399424,6093100032,hold,3.0
AXON,"Axon Enterprise, Inc.","Axon Enterprise, Inc.",AXON,NMS,EQUITY,USD,Industrials,Aerospace & Defense,4100.0,613.14,607.29,607.5,605.0,622.3899,469.24,885.92,357908,858060,600350,48706166784,48037462016.0,192.2069,81.338264,15.9759245,1.414,3.19,7.53815,,,0.0,0.100509994,0.60357,-0.00229,0.02783,0.306,,2557957120,71199000,buy,1.52632
