Ticker,Company,Sector,MarketCap
NVDA,Nvidia,Information Technology,4164914249728
MSFT,Microsoft,Information Technology,3759899148288
AAPL,Apple Inc.,Information Technology,3198501519360
AMZN,Amazon,Consumer Discretionary,2423617748992
GOOGL,Alphabet Inc. (Class A),Communication Services,2315384258560
GOOG,Alphabet Inc. (Class C),Communication Services,2315374821376
META,Meta Platforms,Communication Services,1794175664128
AVGO,Broadcom,Information Technology,1334327377920
TSLA,"Tesla, Inc.",Consumer Discretionary,1071162458112
JPM,JPMorgan Chase,Financials,815992078336
WMT,Walmart,Consumer Staples,763566620672
LLY,Lilly (Eli),Health Care,717192298496
V,Visa Inc.,Financials,694059073536
ORCL,Oracle Corporation,Information Technology,679455948800
MA,Mastercard,Financials,510423826432
NFLX,Netflix,Communication Services,500044464128
XOM,ExxonMobil,Energy,473758760960
COST,Costco,Consumer Staples,417396097024
JNJ,Johnson & Johnson,Health Care,406866460672
HD,Home Depot (The),Consumer Discretionary,374441148416
PG,Procter & Gamble,Consumer Staples,371093766144
PLTR,Palantir Technologies,Information Technology,364912869376
BAC,Bank of America,Financials,358001770496
ABBV,AbbVie,Health Care,336587522048
CVX,Chevron Corporation,Energy,311328145408
KO,Coca-Cola Company (The),Consumer Staples,297683320832
GE,GE Aerospace,Industrials,279086596096
CSCO,Cisco,Information Technology,271735209984
WFC,Wells Fargo,Financials,269544947712
TMUS,T-Mobile US,Communication Services,265615802368
UNH,UnitedHealth Group,Health Care,265347514368
IBM,IBM,Information Technology,262099255296
AMD,Advanced Micro Devices,Information Technology,257235107840
PM,Philip Morris International,Consumer Staples,256312131584
CRM,Salesforce,Information Technology,255462326272
MS,Morgan Stanley,Financials,227251585024
LIN,Linde plc,Materials,221235560448
DIS,Walt Disney Company (The),Communication Services,221015392256
GS,Goldman Sachs,Financials,220164554752
ABT,Abbott Laboratories,Health Care,218924072960
INTU,Intuit,Information Technology,216462884864
AXP,American Express,Financials,214790930432
MCD,McDonald's,Consumer Discretionary,213165637632
MRK,Merck & Co.,Health Care,210876301312
RTX,RTX Corporation,Industrials,209062821888
BX,Blackstone Inc.,Financials,208627023872
CAT,Caterpillar Inc.,Industrials,201102000128
PEP,PepsiCo,Consumer Staples,199420215296
T,AT&T,Communication Services,198717751296
NOW,ServiceNow,Information Technology,198126387200
UBER,Uber,Industrials,188079833088
BKNG,Booking Holdings,Consumer Discretionary,186661568512
VZ,Verizon,Communication Services,180624162816
ISRG,Intuitive Surgical,Health Care,179907903488
ACN,Accenture,Information Technology,178160877568
C,Citigroup,Financials,176707977216
BA,Boeing,Industrials,176346923008
TMO,Thermo Fisher Scientific,Health Care,176180232192
QCOM,Qualcomm,Information Technology,175548252160
BLK,BlackRock,Financials,173433274368
SCHW,Charles Schwab Corporation,Financials,172884688896
GEV,GE Vernova,Industrials,171684315136
TXN,Texas Instruments,Information Technology,169301245952
AMGN,Amgen,Health Care,166269452288
SPGI,S&P Global,Financials,161210974208
BSX,Boston Scientific,Health Care,159425527808
ADBE,Adobe Inc.,Information Technology,157997531136
HON,Honeywell,Industrials,153912115200
SYK,Stryker Corporation,Health Care,153221414912
AMAT,Applied Materials,Information Technology,150075146240
NEE,NextEra Energy,Utilities,149957492736
ETN,Eaton Corporation,Industrials,148787904512
PGR,Progressive Corporation,Financials,145102077952
PFE,Pfizer,Health Care,144180985856
ANET,Arista Networks,Information Technology,141969195008
DHR,Danaher Corporation,Health Care,141699530752
GILD,Gilead Sciences,Health Care,141260685312
TJX,TJX Companies,Consumer Discretionary,140969738240
COF,Capital One,Financials,140344688640
DE,Deere & Company,Industrials,139521949696
UNP,Union Pacific Corporation,Industrials,138016948224
KKR,KKR & Co.,Financials,137171623936
CMCSA,Comcast,Communication Services,133629132800
PANW,Palo Alto Networks,Information Technology,132839899136
LOW,Lowe's,Consumer Discretionary,128121733120
LRCX,Lam Research,Information Technology,124202549248
ADP,Automatic Data Processing,Industrials,123493957632
MU,Micron Technology,Information Technology,122914045952
VRTX,Vertex Pharmaceuticals,Health Care,122479329280
APH,Amphenol,Information Technology,121818816512
COP,ConocoPhillips,Energy,119979442176
KLAC,KLA Corporation,Information Technology,118632079360
MDT,Medtronic,Health Care,117888737280
CRWD,CrowdStrike,Information Technology,115032932352
SNPS,Synopsys,Information Technology,113694728192
NKE,"Nike, Inc.",Consumer Discretionary,113352073216
ADI,Analog Devices,Information Technology,113184243712
SBUX,Starbucks,Consumer Discretionary,109003489280
AMT,American Tower,Real Estate,107755995136
CB,Chubb Limited,Financials,107698266112
WELL,Welltower,Real Estate,105698263040
SO,Southern Company,Utilities,104661065728
ICE,Intercontinental Exchange,Financials,103826300928
MMC,Marsh McLennan,Financials,103142719488
INTC,Intel,Information Technology,102463373312
TT,Trane Technologies,Industrials,102443319296
PLD,Prologis,Real Estate,102071861248
DASH,DoorDash,Consumer Discretionary,101935857664
CEG,Constellation Energy,Utilities,101453086720
COIN,Coinbase,Financials,101324193792
MO,Altria,Consumer Staples,100679581696
BMY,Bristol Myers Squibb,Health Care,99678216192
CME,CME Group,Financials,99632062464
LMT,Lockheed Martin,Industrials,97912889344
RCL,Royal Caribbean Group,Consumer Discretionary,95817228288
PH,Parker Hannifin,Industrials,93044105216
DUK,Duke Energy,Utilities,92889989120
WM,Waste Management,Industrials,91797307392
MCO,Moody's Corporation,Financials,91113676800
MDLZ,Mondelez International,Consumer Staples,90857512960
TDG,TransDigm Group,Industrials,89740984320
MCK,McKesson Corporation,Health Care,89181454336
CDNS,Cadence Design Systems,Information Technology,89137283072
CTAS,Cintas,Industrials,89132097536
UPS,United Parcel Service,Industrials,87668998144
APO,Apollo Global Management,Financials,86781370368
ABNB,Airbnb,Consumer Discretionary,86304890880
DELL,Dell Technologies,Information Technology,86049316864
SHW,Sherwin-Williams,Materials,85941108736
GD,General Dynamics,Industrials,85254635520
HCA,HCA Healthcare,Health Care,84987576320
EMR,Emerson Electric,Industrials,82619998208
ORLY,O’Reilly Automotive,Consumer Discretionary,81569021952
NOC,Northrop Grumman,Industrials,81399537664
CI,Cigna,Health Care,81302298624
FTNT,Fortinet,Information Technology,80414605312
MMM,3M,Industrials,80331259904
AJG,Arthur J. Gallagher & Co.,Financials,79578710016
FI,Fiserv,Financials,79284060160
CVS,CVS Health,Health Care,78241488896
PNC,PNC Financial Services,Financials,77914669056
EQIX,Equinix,Real Estate,77884465152
ITW,Illinois Tool Works,Industrials,77225664512
AON,Aon plc,Financials,77151043584
ECL,Ecolab,Materials,76123234304
RSG,Republic Services,Industrials,76021145600
HWM,Howmet Aerospace,Industrials,75244830720
MAR,Marriott International,Consumer Discretionary,74913300480
PYPL,PayPal,Financials,74554384384
JCI,Johnson Controls,Industrials,72470708224
USB,U.S. Bancorp,Financials,72121204736
CL,Colgate-Palmolive,Consumer Staples,71957192704
CMG,Chipotle Mexican Grill,Consumer Discretionary,71113662464
MSI,Motorola Solutions,Information Technology,70466928640
WMB,Williams Companies,Energy,70464487424
BK,BNY Mellon,Financials,70263160832
NEM,Newmont,Materials,68360454144
